Forecast_Antam
2715472
2690867
2667484
2656171
2664132
2667589
2658582
2651360
2653782
2661832
2660954
2658014
2653515
2654771
2656787
2654787
2653564
2656321
2658911
2659063
2650701
2649570
2653308
2654107
2655708
2657160
2656937
2655786
2654331
2654845
2654771
2654742
2654718
2654696
2654678
2654662
2654648
2654637
2654627
2654618
2654610
2654604
2654599
2654594
2654589
2654586
2654582
2654579
2654576
2654573
2654572
2654571
2654570
2654568
2654567
2654566
2654565
2654564
2654564
2654564
2654563
2654563
2654563
2654563
2654563
2654563
2654563
2654563
2654562
2654562
2654562
2654562
2654562
2654562
2654562
2654561
2654561
2654561
2654561
2654561
2654560
2654560
2654560
2654560
2654559
2654559
2654559
2654559
2654559
2654559
